original_english,original_rephrase,query_sentence_hindi,matched_sentence_hindi,similarity_score
trump promises government will continue to fund all essential mar-a-lago staff during shutdown,,ट्रम्प ने वादा किया है कि सरकार बंद के दौरान सभी आवश्यक मार्-ए-लागो कर्मचारियों को वित्त पोषित करना जारी रखेगी।,फिल्मकार रामगोपाल वर्मा ने कहा कि उन्होंने लॉकडाउन के बीच सभी जरूरी एहतियातों और दिशा-निर्देशों का पालन करते हुए कोरोना वायरस नामक फिल्म की शूटिंग की है। गौरतलब है कि देश में कोरोना वायरस के प्रसार से बचने के लिये मार्च के मध्य से सभी फिल्मों और टीवी धारावाहिकों की शूटिंग बंद है।,0.6090327
google launches 'the google' for older adults,,गूगल बुजुर्गों के लिए 'गुगल' लॉन्च करता है,गूगल ने यू ट्यूब को ख़रीदा,0.60967195
family dinner successfully covers topics of movies and tv,,पारिवारिक रात्रिभोज सफलतापूर्वक फिल्मों और टीवी के विषयों को कवर करता है,टीवी शोज और फिल्मों की शूटिंग जल्द शुरू हो सकती है। &nbsp,0.6207553
brown workers put company in the black,,भूरे रंग के श्रमिकों ने काले रंग में कंपनी दी,कपड़ा व्यवसायियों ने लगाया काला बिल्ला,0.6519546
woman shouts down hall for boyfriend to come kill giant ax murderer she found in bedroom,,महिला हॉल के नीचे चिल्लाती है के लिए प्रेमी के लिए आने के लिए मारने के लिए विशाल कुल्हाड़ी हत्यारा वह बेडरूम में मिला,"प्रेमिका ने अपने पति संग मिलकर युवक को मार डाला, फिर घर के अंदर ही दफन कर दिया शव",0.60409504
ivana trump calls ex-husband to ask him what he did to her beautiful baby boy,,इवान ट्रंप ने अपने पूर्व पति से पूछा कि उसने अपने खूबसूरत बच्चे के साथ क्या किया,अमेरिका के राष्ट्रपति डोनाल्ड ट्रंप के अटॉर्नी ने कहा है कि ट्रंप के सबसे बड़े बेटे और रूसी वकील के बीच पिछले साल चुनाव प्रचार के दौरान हुई मुलाकात में कुछ भी अवैध नहीं था।,0.60464
"report: doing your part to stop climate change now requires planting 30,000 new trees, getting 40,000 cars off the road, reviving 20 square miles of coral reef",,"रिपोर्टः जलवायु परिवर्तन को रोकने के लिए अपनी भूमिका निभाने के लिए अब 30,000 नए पेड़ लगाने, 40,000 कारों को सड़कों से हटाने, 20 वर्ग मील के कोरल रीफ को पुनर्जीवित करने की आवश्यकता है","लीयरी और उनकी टीम अब तक किसानों के साथ मिलकर 10 हजार से ज्यादा 'फारेस्ट गार्डन' का निर्माण कर चुके हैं, जो 20 सालों के दौरान २24 लाख टन कार्बन डाईऑक्साइड का उपयोग कर चुके हैं। यह 25 हजार कारों को सड़क से हटाने जैसा है। यह प्रोजेक्ट मुख्य रूप से अफ्रीकी देशों, सीनेगल, कीनिया और तंजानिया में केन्द्रित है। टीएफएफ निर्धन देशों के वनविहीन क्षेत्रों में इस प्रोजेक्ट के जरिए हरियाली लाने और जलवायु परिवर्तन से लडऩे का काम कर रहे हैं। चार साल के इस प्रोजेक्ट के अंत तक 1500 से ज्यादा पौधे बढ़ जाते हैं। लीयरी कहते हैं कि भूमि की उर्वरा शक्ति के कमजोर पडऩे का एक बड़ा कारण किसानों का गलत फसलें बोना है। लीयरी यहां भी किसानों की मदद करते हैं।",0.61850125
new law prohibits kaleidoscoping while driving,,नई कानून ड्राइविंग करते समय कैलेइडोस्कोप करने पर प्रतिबंध लगाता है,वहीं दिल्ली सरकार का कहना है कि नयी आबकारी नीति का उद्देश्य भ्रष्टाचार कम करना और शराब कारोबारियों में प्रतिस्पर्धा लाना है।,0.6065663
ford: new f-150 pickup truck capable of crushing a big turtle in one go,,फोर्ड: नया F-150 पिकअप ट्रक एक ही बार में एक बड़ी कछुए को कुचलने में सक्षम,फोर्ड की ये नई भारत में मौजूदा कारों को टक्कर देने वाली कार साबित होगी। आईकॉनिक कार मस्टैंग को भारत में लाना फोर्ड के लिए बड़ी उपलब्धि है।,0.6043323
hero soldier receives presidential thumbs-up award,,हीरो सिपाही को राष्ट्रपति का थंब्स-अप अवार्ड मिला,मुख्यमंत्री ने शहीद जवानों को दी श्रद्धांजलि,0.62597156
nelson mandela celebrates 94th birthday in prison after violating parole,,नेल्सन मंडेला ने पैरोल का उल्लंघन करने के बाद जेल में 94 वें जन्मदिन मनाया,जोहान्सबर्ग। अंतरराष्ट्रीय स्तर पर पहचान बनाने वाले अश्वेत आंदोलन के जनक नेल्सन मंडेला के पोते पर दुष्कर्म का आरोप लगा है। नेल्सन मंडेला के पोते मूसो मंडेला पर एक 15 वर्षीय युवती के साथ रैप का आरोप लगा है।,0.60098785
employee's multitasking doesn't include work,,कर्मचारी के मल्टीटास्किंग में काम शामिल नहीं है,कर्मियों पर बढ़ा है काम का बोझ,0.63168275
taliban agrees to peace deal despite concerns about america's human-rights record,,तालिबान अमेरिका के मानवाधिकार रिकॉर्ड के बारे में चिंताओं के बावजूद शांति समझौते से सहमत है,तालिबान ने पाक में US के साथ शांति वार्ता का ऐलान किया,0.76425266
"'we'll be moving shortly,' says train conductor waiting for workers to remove dead body from tracks",,"'हम जल्द ही आगे बढ़ेंगे,' ट्रेन के कंडक्टर ने कहा जो श्रमिकों को ट्रैक से शव निकालने की प्रतीक्षा कर रहे हैं",भारतीय रेलवे जल्द ही यात्रियों से यूजर चार्ज वसूलने की प्रक्रिया शुरू कर सकता है और अगर यह प्रक्रिया शुरू हो गई तो ट्रेन का किराया पहले की तुलना में अधिक हो जाएगा। तो साफ सी बात है कि यात्रियों की जेब पर बोझ पड़ेगा रेलवे बोर्ड के अध्यक्ष वीके यादव ने इस बारे में जानकारी दी है कि जल्द ही यूजर चार्ज हो सुनना शुरू कर दिया जाएगा।  यह चार्ज देश के पुनरीक्षित और अत्यधिक व्यस्ततम रेलवे स्टेशन पर यात्रियों से किराए के रूप में आ जाएगा।,0.61201274
"acne medication may cause dizziness, nausea, loss of hearing, insomnia, blood clotting, difficulty breathing",,"मुँहासे की दवाओं से चक्कर आना, बुखार, सुनवाई हानि, अनिद्रा, रक्तस्राव, सांस लेने में कठिनाई हो सकती है","सर्दियों के मौसम में सर्दी, खांसी, जुकाम, नाक का बंद होना आदि समस्याओं का खतरा बढ़ जाता है। भरी हुई नाक की वजह से आपका रात में सोना मुश्किल हो सकता है। हम आपको बता रहे हैं की बंद नाक से राहत पाने के लिए आपको दिन में, शाम को और सोते समय क्या करना चाहिए ताकि आपको वह नींद मिल सके जो आपके शरीर को ठीक होने के लिए चाहिए।",0.6092197
sasha obama asks father why he was acting like such a pussy during debate,,साशा ओबामा ने पिता से पूछा कि वह बहस के दौरान इतनी कुतिया की तरह क्यों व्यवहार कर रहे थे,"मुंबई: सोनाक्षी सिन्हा ने अपने फैंस के साथ ट्विटर पर इंटरेक्टिव सत्र के दौरान बताया कि वह किस तरह ट्रोल से निपटती हैं। इस बात पर चर्चा तब हुई, जब एक प्रसंशक ने सत्र के दौरान सोनाक्षी के ट्विटर प्रोफाइल के बैकग्राउंड के बारे में पूछा, जिसमें वह पलक झपकाए दोनों कानों को उंगलियों के सहारे बंद करती नजर आ रही हैं।",0.60689676
israeli high-school students hoping suicide bombing postpones exam,,इजरायली हाई स्कूल के छात्रों को उम्मीद है कि आत्मघाती बम विस्फोट परीक्षा स्थगित कर देगा,महाराष्ट्रः लॉकडाउन खत्म होने के बाद होंगी यूनिवर्सिटी की परीक्षाएं,0.6002396
old friend avoided in hometown convenience store,,पुराने दोस्त को अपने गृहनगर की सुविधा स्टोर में टाल दिया,खोखे में बंद दुकानदार ने दोस्तों को किया फोन,0.60546064
gasoline still inexplicably cheaper than milk,,पेट्रोल अभी भी दूध की तुलना में अप्रत्याशित रूप से सस्ता है,पैसे प्रेम से अधिक क़ीमती है,0.6842626
mother constantly worried about son stationed on u.s. military base,,माँ लगातार अपने बेटे को अमेरिकी सैन्य आधार पर तैनात करने के बारे में चिंतित थी,अमेरिका को खुश करने के लिये भारतीयों की चिंता नहीं!,0.6062001
mueller annoyed by dipshit protestors holding up traffic during commute,,मूलर गंदगी प्रदर्शनकारियों द्वारा परेशान किया जा रहा है आवागमन के दौरान यातायात को रोकना,रास्ते पर मड़हा रखने से आक्रोशित ग्रामीणों ने किया प्रदर्शन,0.60423434
kanye west announces his new name is tim,,Kanye West ने घोषणा की कि उनका नया नाम Tim है,"किम कार्दशियन के पति रैपर कान्ये वेस्ट अमेरिकी राष्ट्रपति का चुनाव लड़ेंगे , ट्विटर पर किया ऐलान",0.6046243
"jury finds man guilty of murdering wife and children, but gets it",,"जूरी आदमी पत्नी और बच्चों की हत्या के लिए दोषी पाया, लेकिन यह मिलता है",बेटी के रेप के आरोपी पति ने भरे कोर्ट में कर दी पत्नी की हत्या,0.65252876
siblings quietly relieved oldest brother setting bar so low,,भाई-बहनों ने चुपचाप बड़े भाई को इतना कम कर दिया,चचेरे भाई ने किया बड़ी बहन से रेप,0.6125906
u.s. loses u.n. membership after soapy bo obama jumps up on secretary-general,,अमेरिका संयुक्त राष्ट्र के सदस्य पद खो देता है जब बो ओबामा महासचिव पर हमला करते हैं।,"वॉशिंगटन। आज अमेरिका पर हुए आतंकी हमले 9/11 की 13वीं बरसी है। इस मौके पर अमेरिका ने आतंकवादी संगठन आईएस को कैंसर बताते हुए उसे जड़ से खत्म करने की कसम खाई है। अमेरिकी राष्ट्रपति बराक ओबामा ने आज दोटूक कहा कि जो भी अमेरिका को धमकाएगा उसे बख्शा नहीं जाएगा, दुनिया के किसी भी कोने में वो क्यों न छुप जाए, उसे ढूंढ कर खत्म कर दिया जाएगा।",0.61628115
study: majority of new marine life species now discovered while cleaning oil spills,,अध्ययन: तेल के बहाव को साफ करते समय अब अधिकांश नई समुद्री जीवन प्रजातियों की खोज की गई है,एक हालिया शोध में पाया गया कि जो किसान वाटर हार्वेस्टिंग मॉडल से जुड़े थे उन्हें बाकी किसानों से 261 फीसदी तक ज्यादा मुनाफा हुआ,0.6270377
secretary of education given something to do,,शिक्षा सचिव को कुछ करने को दिया गया,शिक्षकों का क्या है कहना,0.602342
7-year-old puts on uno face,,7 वर्षीय एक चेहरे पर डालता है,‘ज़िंदगी के चेहरे पर टकटकी लगाना,0.63566744
check it out: deer,,इसे देखोः हिरण,ये देखता रहै,0.61456764
trump thanks united nations for inviting him to their country,,ट्रम्प ने उन्हें अपने देश में आमंत्रित करने के लिए संयुक्त राष्ट्र का धन्यवाद किया,भारत की तारीफ करते ट्रंप,0.6568424
banks introduce 75-cent surcharge for using word 'bank',,बैंकों ने 'बैंक' शब्द का प्रयोग करने के लिए 75 सेंट का अधिभार लागू किया है।,अभी तक आठ सरकारी बैंकों ने रेपो रेट पर आधारित ब्याज दर की शुरुआत की है।,0.62870884
apple hard at work making iphone obsolete,,एप्पल कड़ी मेहनत कर रहा है iPhone अप्रचलित बनाने के लिए,>> ऐपल अफॉर्डेबल आईफोन मॉडल पर काम कर रहा है और लंबे इंतजार के बाद इसे 15 अप्रैल को लॉन्च किया जा सकता है.,0.6536952
entertainment tonight host 'can't wait' to see new paramount pictures release,,मनोरंजन आज रात मेजबान 'कहीं इंतजार नहीं कर सकते' नई सर्वोच्च फिल्मों रिलीज देखने के लिए,"कल से नहीं खुलेंगे शहर के मल्‍टीप्‍लेक्‍स, बड़े पर्दे पर फिल्म देखने के लिए करना होगा इंतजार",0.6187037
ex-marine says this rain nothing,,पूर्व नौसेना का कहना है कि यह बारिश कुछ भी नहीं,बारिश खत्म अब कोताही नहीं चलेगी,0.6007111
4 senators mauled during congressional tiger show,,कांग्रेस में टाइगर शो के दौरान 4 सीनेटरों को मार गिराया गया,शिअद के कई नेता कांग्रेस पार्टी में शामिल,0.60037315
prescription bottle recommends taking 10 tablets if you really want to fly,,यदि आप वास्तव में उड़ना चाहते हैं तो 10 गोलियां लेने की सिफारिश की जाती है,एक साथ 10 जोड़ों को लेने होंगे फेरे,0.6283057
celebrity disappointed after meeting fan,,प्रशंसक से मिलने के बाद सेलिब्रिटी निराश,प्रियंका से मुलाकात के बाद शांत हुए सिद्धू,0.6017235
israeli soldiers open fire on palestinians carrying potentially dangerous injured friends,,इजरायली सैनिकों ने संभावित रूप से खतरनाक घायल दोस्तों को ले जाने वाले फिलिस्तीनियों पर गोलीबारी की,इस्राइली बलों ने 18 साल के फलस्तीनी किशोर की गोली मार कर हत्या की,0.6590389
everyone on flight annoyed by screaming kid rock,,उड़ान पर सभी चिल्लाते बच्चे पत्थर से परेशान,पूरे होश में दर्द से चीखती बच्चियां...,0.6013651
kim jong-un panics after returning to north korea to find country's populace has escaped,,किम जोंग-उन उत्तर कोरिया लौटने के बाद घबरा गए देश की आबादी भाग गई है,"दक्षिण कोरिया के नए राष्ट्रपति बने मून जे, कहा उत्‍तर कोरिया जाने की है इच्‍छा",0.6372667
inconsiderate woman on bus eating live tuna,,बस में लापरवाह महिला जिंदा ट्यूना खा रही है,बस में सफर कर रही महिला संदिग्ध मौत,0.7264464
cops cleared on corruption charges after implicating decorated police dog,,पुलिस कुत्ता को सजा देने के बाद भ्रष्टाचार के आरोपों से पुलिस को बरी कर दिया गया,अदालत द्वारा सजा सुनाए जाने के बाद दाेषियों को ले जाती पुलिस।,0.62700665
olympic bronze medalist to appear in flintstones on ice,,ओलंपिक कांस्य पदक विजेता बर्फ पर चट्टानों में दिखाई देने के लिए,ओलम्पिक पदक विजेताओं की पुरस्कार राशि में बढ़ोत्तरी,0.61834544
'what were we talking about again?' says trump 15 seconds into phone call to family of fallen soldier,,'हम फिर से किस बारे में बात कर रहे थे? ' ट्रम्प कहते हैं 15 सेकंड में फोन कॉल के परिवार के लिए गिरा हुआ सैनिक,"जो हम अब सोचते हैं, वो तब कहते थे",0.6093437
"south korean president eats full, balanced meal in show of strength against north",,दक्षिण कोरियाई राष्ट्रपति उत्तर के खिलाफ ताकत दिखाने के लिए भरपूर और संतुलित भोजन खाते हैं,उत्तर कोरिया पर अमेरिका और उसके मित्र देशों की कार्रवाई प्रभावशाली और भारी असर छोड़ने वाली होगी।,0.6059994
white guy held accountable for crime,,एक सफेद आदमी अपराध के लिए जिम्मेदार ठहराया गया,शराब की तस्करी के आरोप में एक गिरफ्तार,0.6618721
novelist thinks people shrug 10 times more than they actually do,,उपन्यासकार सोचता है कि लोग वास्तव में करते हैं की तुलना में 10 गुना अधिक कंधे झुकाते हैं,हाथों को सीधा कर हथेलियों की मुट्ठी बनाकर 10 बार दाएं-बाएं व गोल घुमाना। हाथों को कंधों पर रखकर कंधों को आगे-पीछे घुमाना और कोहनी की तरफ से हाथ को गोल घुमाना।,0.60039824
picture most closely resembling actual self immediately deleted,,तस्वीर सबसे निकटता से वास्तविक स्वयं की तरह लग रहा है तुरंत हटा दिया,शरीर के ये हिस्से बहुत करीब से ऐसे दिखाई देते हैं,0.6060767
office manager unveils new rule,,कार्यालय प्रबंधक नए नियम का खुलासा करता है,शासन के कुछ नए नियम सामने आए हैं।,0.64768773
area man's biggest accomplishment not ever killing anyone with his car,,क्षेत्र आदमी की सबसे बड़ी उपलब्धि कभी भी अपनी कार के साथ किसी को मारने नहीं है,"सबसे महान जीत प्रेम की होती है, ये हमेशा के लिए दिल जीत लेती है।",0.6162558
trump: 'i am a very stupid human being',,ट्रंप: 'मैं एक बहुत ही बेवकूफ इंसान हूँ',"अमेरिका के राष्ट्रपति डोनाल्ड ट्रंप ने पीएम मोदी को लेकर कहा, ‘प्रधानमंत्री मोदी मेरे दोस्त हैं और वह बहुत अच्छा काम कर रहे हैं. कुछ भी आसान नहीं है लेकिन वह बहुत अच्छा काम कर रहे हैं. भारत को एक महान नेता मिला है और एक महान व्यक्ति मिला है.’",0.62783647
nra calls for teachers to keep loaded gun pointed at class for entire school day,,एनआरए ने शिक्षकों से कहा है कि वे पूरे स्कूल दिवस के लिए कक्षा में बंदूकें रखकर रखें।,अभिभावकों ने आरोप लगाया कि सोमवार को पांच से नौ वर्ष की बच्चियां सुबह ठंड होने के कारण स्कूल लेगिंग्स पहनकर गई थीं लेकिन प्रधानाचार्य और अन्य शिक्षकों ने उसके वर्दी से मेल ना खाने के कारण उसे उतरवा दिया.,0.66019976
newt gingrich: 'it's an honor to address a crowd that shares my utterly bizarre and unhealthy obsession with hillary clinton',,न्यूट गिंग्रिचः 'यह एक सम्मान है कि मैं एक भीड़ को संबोधित कर सकता हूं जो हिलेरी क्लिंटन के साथ मेरी पूरी तरह से अजीब और अस्वास्थ्यकर जुनून को साझा करती है',"नई दिल्ली — केंद्रीय सूचना आयोग ने आदेश दिया है कि महात्मा गांधी की हत्या से जुड़े मुकदमे में नाथूराम गोडसे के बयान सहित अन्य संबंधित रिकार्ड को तुरंत राष्ट्रीय अभिलेखागार की वेबसाइट पर सार्वजनिक किया जाए। सूचना आयुक्त श्रीधर आचार्युलु ने कहा कि कोई नाथूराम गोडसे और उनके सह-आरोपी से इत्तेफाक भले ही न रखे, लेकिन हम उनके विचारों का खुलासा करने से इनकार नहीं कर सकते।",0.6083096
bush elected president of iraq,,बुश इराक के राष्ट्रपति चुने गए,मिस्र: राष्ट्रपति चुनाव होंगे समयपूर्व,0.60651374
department of education hires art teacher to spread evenly across all u.s. public schools,,शिक्षा विभाग अमेरिका के सभी सार्वजनिक स्कूलों में समान रूप से फैलाने के लिए कला शिक्षक नियुक्त करता है,"प्रदेश भर के स्कूलों में भर्ती पर शिक्षा विभाग को झटका, प्रोपोजल पर सरकार ने नहीं दिया जवाब शिमला-राज्य के सरकारी स्कूलों में तैनात शिक्षक ही अब चाइल्ड काउंसलर का कार्य करेंगे। यानी कि छात्रों को पहले से तैनात शिक्षक ही बैड व गुड टच के बारे में जागरूक करेंगे। स्कूलों में फिलहाल अभी चाइल्ड",0.6104414
thousands dead in wake of low-carbon diet,,कम कार्बन आहार के कारण हजारों लोग मारे गए,जहरीली गैस के रिसाव से हुई थी हजारों की मौत,0.7603083
new study finds americans need 6 hours of sleep at work,,नए अध्ययन में पाया गया है कि अमेरिकियों को काम पर 6 घंटे की नींद की आवश्यकता होती है,सोना किसी बी मनुष्य के जीव का अहम हिस्सा होता है सोने से न केवल हमरे शरीर को नई उर्जा मिलती है बल्कि हमारा दिमाग भी तंदरुस्त रहता है. हर व्यक्ति को 24 घंटे में कम से कम 6 घंटे की नीद लेनी चाहिए. डॉ भी यही सलाह देते है. डॉ के मुताबिक अगर आप 6 घंटे की नींद नहीं ले रहे है तो ये आदत आपके स्वास्थ्य पर बुरा असर डाल सकती है औरत इससे आपका जीवन अव्यस्थित हो जाता है.,0.61932474
researchers publish list of ways animals can help fight climate change,,शोधकर्ताओं ने जलवायु परिवर्तन से लड़ने में जानवरों की मदद करने के तरीकों की सूची प्रकाशित की है,आईआईएम ने मानव-वन्यजीव संघर्ष को कम करने को प्रोटोटाइप परीक्षण किया,0.6001096
governor approves 24-hour waiting period for women voters,,राज्यपाल ने महिला मतदाताओं के लिए 24 घंटे की प्रतीक्षा अवधि को मंजूरी दी,"हिंदी न्यूज़ › देश › महाराष्ट्र की कैबिनेट ने पास किया 'मुंबई 24 घंटे' प्रस्ताव, अब रातभर खुल सकेंगे मॉल व रेस्त्रां",0.6258748
man always taking good mood out on friends,,आदमी हमेशा दोस्तों पर अच्छा मूड निकालता है,"""मेरे पिता मुझसे हमेशा कहा करते थे कि जब तुम मरो , उस समय यदि तुम्हारे पांच अच्छे दोस्त हैं तो तुम्हारी ज़िन्दगी अच्छी रही है !!""",0.6082059
shy congressman wishes other lawmakers would include him in their crimes,,शर्मीले कांग्रेसी चाहते हैं कि अन्य विधायक उन्हें अपने अपराधों में शामिल करें,कांग्रेस के लोगों को अपने पाप का प्रायश्चित करने के लिये गंगा स्नान करना चाहिये : उप्र के मंत्री,0.61358243
"democrats could lose up to 8,000 seats in upcoming midterm election",,"आगामी मध्यावधि चुनाव में डेमोक्रेट्स 8,000 सीटों तक खो सकते हैं।",आडवाणी ने कहा कि मौजूदा सरकार 2009 तक नहीं रहेगी और चुनाव उससे पहले कभी भी हो सकते हैं। वर्ष 2008 के शुरू में मध्यावधि चुनाव होने की प्रबल संभावना है।,0.63373524
study: 38 percent of people not actually entitled to their opinion,,अध्ययन: 38 प्रतिशत लोगों को वास्तव में अपनी राय का अधिकार नहीं है,88 प्रतिशत लोग सरकार से सहमत,0.6245766
hero shop saves hundreds from hunger,,हीरो की दुकान सैकड़ों को भूख से बचाता है,हैंडलूम की दुकान से हजारों का माल पार,0.6150143
christian couple staying together for sake of god,,मसीही जोड़े परमेश्वर की भलाई के लिए एक साथ रहते हैं,सुरक्षा के लिए मंदिर में एक साथ रात बीता रहे हैं लोग,0.64478254
white guy held accountable for crime,,एक सफेद आदमी अपराध के लिए जिम्मेदार ठहराया गया,दोषी पर की जाएगी कार्रवाई,0.6223904
man always taking good mood out on friends,,आदमी हमेशा दोस्तों पर अच्छा मूड निकालता है,मनुष्य को हमेशा अच्छी वाणी बोलना चाहिए,0.7676426
"in attempt to jump-start economy, obama declares tuesdays ladies' night",,"अर्थव्यवस्था को उछालने के प्रयास में, ओबामा ने मंगलवार को महिलाओं की रात घोषित की",बराक ओबामा: सड़कों पर सुरक्षित हों महिलाएं,0.6587148
"'we will never speak of this again,' says trump to mohammed bin salman as they dump khashoggi's body into new jersey river",,"ट्रंप ने मोहम्मद बिन सलमान से कहा, 'हम इसके बारे में फिर कभी नहीं बोलेंगे' जब उन्होंने खाशोगी का शव न्यू जर्सी नदी में फेंक दिया।","विदेश मंत्री एस जयशंकर ने संसद को बताया, पीएम मोदी ने कश्‍मीर पर ट्रंप से कभी नहीं किया कोई अनुरोध",0.6465836
thing happens,,कुछ होता है,कुछ की हुई शुरुआत,0.7286085
first place cops looked was inside at-at,,पहली जगह पुलिस की ओर देखा था अंदर पर-at,-सिविल लाइंस एरिया में पुलिस ने शुरू की थी चेकिंग,0.62373555
u.s. encouraging cuba to shift toward democratic system of corruption,,अमेरिका क्यूबा को भ्रष्टाचार की लोकतांत्रिक प्रणाली की ओर ले जाने के लिए प्रोत्साहित कर रहा है,भारत ने तुर्की में लोकतंत्र का समर्थन करने का किया आग्रह,0.60680085
facebook addresses accusations of silencing conservative voices by deleting barack obama's profile,,फेसबुक ने बराक ओबामा की प्रोफ़ाइल को हटाकर रूढ़िवादी आवाजों को चुप कराने के आरोपों को संबोधित किया,वाशिंगटन: अमेरिकी राष्ट्रपति जो बाइडेन (Joe Biden) ने कहा कि फेसबुक (Facebook) जैसे सोशल मीडिया प्लेटफॉर्म के कारण कोरोना वायरस महामारी और इसके टीकों के बारे में गलत सूचना फैलाई जा रही है ‘जो लोगों की जान ले रही है’। व्हाइट हाउस ने कहा फेसबुक को अपने कार्य को साफ करने की आवश्यकता है। वे लोगों को मार रहे हैं। इस मामले में बाइडेन ने फेसबुक को जमकर लताड़ा है।,0.6048945
increased negative campaigning reveals previously hidden ugly side of politics,,नकारात्मक अभियानों में वृद्धि से राजनीति के पहले छिपे हुए बदसूरत पक्ष का पता चलता है,बीजेपी की नकारात्मक राजनीति से AAP को मिली थी बड़ी जीत,0.60283476
self-actualized historians urge nation not to get hung up on the past,,स्वार्थवादी इतिहासकार राष्ट्र को अतीत के बारे में न सोचने के लिए प्रोत्साहित करते हैं,समाजवादियों को शहीदों की याद नहीं आई,0.6198482
new uber update allows users to file lawsuit against company directly in app,,नया उबर अपडेट उपयोगकर्ताओं को सीधे ऐप में कंपनी के खिलाफ मुकदमा दायर करने की अनुमति देता है,ऑल्ट न्यूज़ को अपने अधिकृत मोबाइल एप पर इस दावे की पड़ताल करने के अनुरोध प्राप्त हुए हैं।,0.60056317
frustration with husband taken out on soap scum,,साबुन की कबाड़ पर पति के साथ निराशा,"पत्नी की इस बात से नाराज हो गया पति, सिर पर पत्थर पटककर ले ली जान",0.6130765
white house announces sasha obama to now be played by britney watkins,,व्हाइट हाउस ने साशा ओबामा को अब ब्रिटनी वाटकिन्स द्वारा निभाए जाने की घोषणा की,"नाम पर फिर कंफ्यूज हुआ व्‍हाइट हाउस, ब्रिटिश पीएम को बता डाला ''पॉर्न स्‍टार''",0.60734487
